Plant_species,Mycorrhizal_strategy,Dourght_adaptation
Valeriana_occidentalis,AM,sensitive
Viburnum_lantana,AM,tolerant
Viburnum_opulus_var._americanum,AM,sensitive
Vicia_grandiflora,AM,sensitive
Vicia_lutea,AM,sensitive
Vigna_radiata,AM,sensitive
Vigna_unguiculata,AM,sensitive
Zelkova_serrata,AM,tolerant
Zizania_aquatica,AM,sensitive
Zizaniopsis_miliacea,AM,sensitive
Senegalia_greggii,AM,tolerant
Acer_negundo,AM,tolerant
Aesculus_californica,AM,tolerant
Agave_americana,AM,tolerant
Agropyron_cristatum,AM,tolerant
Agropyron_desertorum,AM,tolerant
Allium_textile,AM,tolerant
Allium_tribracteatum,AM,tolerant
Amelanchier_utahensis,AM,tolerant
Andropogon_gerardii,AM,tolerant
Andropogon_ternarius,AM,tolerant
Annona_squamosa,AM,tolerant
Artemisia_arbuscula,AM,tolerant
Artemisia_cana,AM,tolerant
Artemisia_frigida,AM,tolerant
Artemisia_ludoviciana,AM,tolerant
Artemisia_nova,AM,tolerant
Artemisia_rigida,AM,tolerant
Artemisia_tridentata,AM,tolerant
Artemisia_tripartita,AM,tolerant
Balsamorhiza_careyana,AM,tolerant
Balsamorhiza_sagittata,AM,tolerant
Balsamorhiza_serrata,AM,tolerant
Berberis_fendleri,AM,tolerant
Bothriochloa_bladhii,AM,tolerant
Bothriochloa_saccharoides,AM,tolerant
Bromus_anomalus,AM,tolerant
Bromus_rubens,AM,tolerant
Bursera_simaruba,AM,tolerant
Cajanus_cajan,AM,tolerant
Calliandra_eriophylla,AM,tolerant
Callicarpa_americana,AM,tolerant
Calophyllum_inophyllum,AM,tolerant
Campsis_radicans,AM,tolerant
Caragana_arborescens,AM,tolerant
Ceanothus_americanus,AM,tolerant
Ceanothus_cordulatus,AM,tolerant
Cedrela_odorata,AM,tolerant
Cercis_canadensis,AM,tolerant
Chaenomeles_japonica,AM,tolerant
Chamaebatiaria_millefolium,AM,tolerant
Chilopsis_linearis,AM,tolerant
Chrysothamnus_viscidiflorus,AM,tolerant
Colutea_arborescens,AM,tolerant
Cornus_rugosa,AM,tolerant
Cotoneaster_integerrimus,AM,tolerant
Crataegus_crus-galli,AM,tolerant
Crataegus_monogyna,AM,tolerant
Crepis_acuminata,AM,tolerant
Cucurbita_foetidissima,AM,tolerant
Cytisus_scoparius,AM,tolerant
Dasylirion_wheeleri,AM,tolerant
Delphinium_andersonii,AM,tolerant
Desmodium_incanum,AM,tolerant
Desmodium_tortuosum,AM,tolerant
Desmodium_triflorum,AM,tolerant
Diervilla_lonicera,AM,tolerant
Elaeagnus_angustifolia,AM,tolerant
Elaeagnus_umbellata,AM,tolerant
Elymus_elymoides,AM,tolerant
Elymus_glaucus,AM,tolerant
Elymus_sibiricus,AM,tolerant
Elymus_trachycaulus,AM,tolerant
Encelia_farinosa,AM,tolerant
Ephedra_torreyana,AM,tolerant
Ephedra_viridis,AM,tolerant
Ericameria_nauseosa,AM,tolerant
Erigeron_compositus,AM,tolerant
Erigeron_eatonii,AM,tolerant
Erigeron_linearis,AM,tolerant
Erodium_botrys,AM,tolerant
Eugenia_rhombea,AM,tolerant
Fallugia_paradoxa,AM,tolerant
Fendlera_rupicola,AM,tolerant
Ferocactus_wislizeni,AM,tolerant
Festuca_californica,AM,tolerant
Fouquieria_splendens,AM,tolerant
Fremontodendron_californicum,AM,tolerant
Gaillardia_pulchella,AM,tolerant
Geum_triflorum,AM,tolerant
Gleditsia_triacanthos,AM,tolerant
