Plant_species,Mycorrhizal_strategy,Drought_adaptation
Pycreus_bipartitus,AM,sensitive
Pycreus_flavescens,AM,sensitive
Eleocharis_acicularis,AM,sensitive
Eleocharis_palustris,AM,sensitive
Glyceria_canadensis,AM,sensitive
Glyceria_melicaria,AM,sensitive
Glyceria_obtusa,AM,sensitive
Glyceria_striata,AM,sensitive
Juncus_articulatus,AM,sensitive
Juncus_bufonius,AM,sensitive
Juncus_tenuis,AM,sensitive
Juncus_triglumis,AM,sensitive
Limonium_carolinianum,AM,sensitive
Luzula_parviflora,AM,sensitive
Luzula_spicata,AM,sensitive
Oxyria_digyna,AM,sensitive
Phragmites_australis,AM,sensitive
Persicaria_hydropiperoides,AM,sensitive
Persicaria_sagittata,AM,sensitive
Puccinellia_nuttalliana,AM,sensitive
Bolboschoenus_fluviatilis,AM,sensitive
Bolboschoenus_maritimus,AM,sensitive
Typha_angustifolia,AM,sensitive
Veronica_americana,AM,sensitive
Veronica_wormskjoldii,AM,sensitive
Acorus_calamus,AM,sensitive
Alisma_gramineum,AM,sensitive
Berula_erecta,AM,sensitive
Caltha_leptosepala,AM,sensitive
Caltha_palustris,AM,sensitive
Eleocharis_ovata,AM,sensitive
Eleocharis_quadrangulata,AM,sensitive
Eleocharis_rostellata,AM,sensitive
Galium_aparine,AM,sensitive
Galium_obtusum,AM,sensitive
Galium_oreganum,AM,sensitive
Galium_trifidum,AM,sensitive
Hippuris_vulgaris,AM,sensitive
Juncus_castaneus,AM,sensitive
Myosotis_scorpioides,AM,sensitive
Persicaria_amphibia,AM,sensitive
Persicaria_hydropiper,AM,sensitive
Sagittaria_latifolia,AM,sensitive
Typha_latifolia,AM,sensitive
Galium_boreale,AM,tolerant
Juncus_effusus,AM,tolerant
Myrica_gale,AM,tolerant
Persicaria_pensylvanica,AM,tolerant
Persicaria_maculosa,AM,tolerant
Myricaria_germanica,AM,sensitive
Veronica_fruticans,AM,tolerant
Lobelia_cardinalis,AM,tolerant
Abies_amabilis,EEM,sensitive
Abies_balsamea,EEM,sensitive
Abies_fraseri,EEM,sensitive
Abies_grandis,EEM,sensitive
Abies_lasiocarpa,EEM,sensitive
Abies_magnifica,EEM,sensitive
Abies_procera,EEM,sensitive
Alnus_incana,EEM,sensitive
Alnus_maritima,EEM,sensitive
Betula_nigra,EEM,sensitive
Betula_occidentalis,EEM,sensitive
Betula_papyrifera,EEM,sensitive
Betula_pendula,EEM,sensitive
Betula_pumila,EEM,sensitive
Carpinus_caroliniana,EEM,sensitive
Larix_laricina,EEM,sensitive
Larix_occidentalis,EEM,sensitive
Picea_breweriana,EEM,sensitive
Picea_engelmannii,EEM,sensitive
Picea_mariana,EEM,sensitive
Picea_sitchensis,EEM,sensitive
Pinus_banksiana,EEM,sensitive
Pinus_canariensis,EEM,sensitive
Pinus_clausa,EEM,sensitive
Pinus_coulteri,EEM,sensitive
Pinus_elliottii,EEM,sensitive
Pinus_glabra,EEM,sensitive
Pinus_monticola,EEM,sensitive
Pinus_mugo,EEM,sensitive
Pinus_muricata,EEM,sensitive
Pinus_palustris,EEM,sensitive
Pinus_radiata,EEM,sensitive
Pinus_resinosa,EEM,sensitive
Pinus_taeda,EEM,sensitive
Quercus_bicolor,EEM,sensitive
Quercus_gambelii,EEM,sensitive
Quercus_laurifolia,EEM,sensitive
Quercus_nigra,EEM,sensitive
