Plant species,Latitude,Longitude
Solanum melongena,19,85
Solanum melongena,42.017,20.983
Solanum melongena,12,123.1
Solanum melongena,34.333,62.2
Solanum melongena,41.25,32.75
Solanum melongena,18.533,73.867
Solanum lycopersicum,51.2,10.5
Solanum melongena,41.4,63.9
Solanum melongena,42,12.6
Solanum lycopersicum,52.2,5.4
Solanum lycopersicum,52.2,5.4
Solanum lycopersicum,48,-125
Solanum lycopersicum,52.2,5.4
Solanum lycopersicum,47.2,19.5
Solanum lycopersicum,63,-91
Solanum lycopersicum,52.2,5.4
Solanum lycopersicum,47.2,19.5
Solanum lycopersicum,47.2,19.5
Solanum lycopersicum,48,-125
Solanum lycopersicum,-29.2,25.6
Solanum lycopersicum,45.7,2.9
Solanum lycopersicum,46,25
Solanum lycopersicum,49.8,19.5
Solanum lycopersicum,45.3,39.6
Solanum lycopersicum,42,12.6
Solanum lycopersicum,46,25
Solanum lycopersicum,42,12.6
Solanum lycopersicum,66,100
Solanum lycopersicum,66,100
Solanum melongena,48,-125
Solanum melongena,48,-125
Solanum melongena,48,-125
Solanum melongena,48,-125
Solanum melongena,48,-125
Solanum melongena,35,134
Solanum melongena,48,-125
Solanum melongena,45.7,2.9
Solanum melongena,-16.2,59.6
Solanum melongena,51.2,10.5
Zea mays,43.9,20.2
Zea mays,35.633,71.683
Zea mays,35.717,71.7
Zea mays,35.683,71.667
Zea mays,35.667,71.667
Zea mays,48,-125
Zea mays,48,-125
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,43.9,20.2
Zea mays,36.2,71.667
Zea mays,36.2,71.667
Zea mays,36.2,71.667
Zea mays,36.1,71.833
Zea mays,36.067,71.817
Zea mays,36.067,71.817
Zea mays,35.683,71.65
Zea mays,35.65,71.633
Zea mays,35.683,71.633
Zea mays,36.067,71.817
Zea mays,36.2,71.667
Zea mays,36.017,71.767
Zea mays,36.017,71.65
Zea mays,36.017,71.65
Zea mays,48,-125
Zea mays,48,-125
Zea mays,48,-125
Zea mays,66,100
Zea mays,36.067,71.817
Zea mays,36.067,71.817
Zea mays,36.067,71.817
Zea mays,36.017,71.767
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,43.9,20.2
